tiempo_s,vel_m1,vel_m2,vel_m3,vel_m4,act_m1,act_m2,act_m3,act_m4
294.5919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.6092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.6451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.6604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.6741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.6878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.7184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.7351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.7524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.7697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.8015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.8191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.8364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.8528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.8852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.9049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.9220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.9368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.9732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.0544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.0901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.1229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.1391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.1567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.1711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.2028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.2203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.2369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.2547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.2862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.3017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.3183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.3350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.3697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.3862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.4017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.4184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
295.4554,-0.0208,0.0208,0.0623,-0.0415,-14.1650,14.1650,16.0138,-16.0138
295.4713,-0.8657,0.7214,1.6352,-1.5871,-14.1650,14.1650,16.0138,-16.0138
295.4892,-0.8559,0.4707,0.2568,-1.4122,-14.1650,14.1650,16.0138,-16.0138
295.5219,-0.5160,0.3284,0.1407,-0.3987,-14.1650,14.1650,16.0138,-16.0138
295.5382,-0.4709,0.3767,0.1884,-0.6122,-14.1650,14.1650,16.0138,-16.0138
295.5530,-0.1036,0.0000,0.1036,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.5695,0.1863,0.0466,0.0931,0.1397,-14.1650,14.1650,16.0138,-16.0138
295.6018,0.0475,0.0475,0.0475,0.0237,-14.1650,14.1650,16.0138,-16.0138
295.6184,0.0000,0.0462,0.0924,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.6367,-0.0420,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.6548,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.6880,0.0231,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.7030,-0.0513,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.7231,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.7407,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.7701,0.0000,0.0000,0.0000,-0.0261,-14.1650,14.1650,16.0138,-16.0138
295.7857,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.8015,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.8182,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.8537,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.8718,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.8871,-0.0502,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.9182,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.9348,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.9515,0.0000,0.0000,0.0000,0.0000,-14.1650,14.1650,16.0138,-16.0138
295.9737,0.0000,0.0000,0.0000,0.0000,-28.3300,28.3300,32.0276,-32.0276
296.0035,0.0000,0.0000,0.0000,0.0000,-28.3300,28.3300,32.0276,-32.0276
296.0229,0.0000,0.0000,0.0000,0.0000,-28.3300,28.3300,32.0276,-32.0276
296.0410,0.0000,0.0000,0.0000,-0.0424,-28.3300,28.3300,32.0276,-32.0276
296.0568,0.0000,0.0000,0.0000,0.0000,-42.4951,42.4951,48.0414,-48.0414
296.0888,0.0000,0.0000,0.0000,0.0000,-42.4951,42.4951,48.0414,-48.0414
296.1047,0.0000,0.0000,0.0000,0.0000,-42.4951,42.4951,48.0414,-48.0414
296.1194,0.0000,0.0000,0.0000,0.0000,-56.6601,56.6601,64.0551,-64.0551
296.1350,0.0000,0.0000,0.0000,-0.0493,-56.6601,56.6601,64.0551,-64.0551
296.1520,0.0000,0.0000,0.0450,-0.0900,-56.6601,56.6601,64.0551,-64.0551
296.1889,0.0000,0.0208,0.0208,0.0208,-56.6601,56.6601,64.0551,-64.0551
296.2238,0.0000,0.0000,0.0000,-0.0220,-56.6601,56.6601,64.0551,-64.0551
296.2724,0.0000,0.0000,0.0473,-0.0473,-70.8251,70.8251,80.0689,-80.0689
296.2961,-0.0972,0.1296,0.2915,-0.9070,-84.9901,84.9901,96.0827,-96.0827
296.3187,-0.2033,0.4066,0.7792,-0.6776,-84.9901,84.9901,96.0827,-96.0827
296.3360,-0.3097,0.7964,0.7079,-0.2212,-84.9901,84.9901,96.0827,-96.0827
296.3531,-0.2694,1.0776,1.1674,-0.3592,-99.1552,99.1552,112.0965,-112.0965
296.3702,-0.1344,0.8511,1.1199,-0.4479,-99.1552,99.1552,112.0965,-112.0965
296.3890,-0.1636,1.3089,1.2680,-0.6136,-104.8212,104.8212,118.5020,-118.5020
296.4211,-0.0478,1.0046,1.1002,-0.2153,-113.3202,113.3202,128.1103,-128.1103
296.4398,-0.0410,2.3771,2.5821,-0.1639,-127.4852,127.4852,144.1241,-144.1241
296.4574,-0.2604,4.3837,4.1233,-0.3472,-127.4852,127.4852,144.1241,-144.1241
296.4881,-0.4506,2.5032,3.2792,-0.3504,-127.4852,127.4852,144.1241,-144.1241
296.5027,-0.8930,6.4087,7.9321,-0.1576,-127.4852,127.4852,144.1241,-144.1241
296.5183,-1.4203,7.7384,8.4731,-0.2939,-127.4852,127.4852,144.1241,-144.1241
296.5351,-1.6438,8.8581,11.4607,-0.1826,-127.4852,127.4852,144.1241,-144.1241
296.5707,-0.7974,4.5040,5.2798,0.1509,-127.4852,127.4852,144.1241,-144.1241
296.5850,-3.0088,11.9813,15.4736,-0.3224,-127.4852,127.4852,144.1241,-144.1241
296.6016,-3.7964,12.7319,16.2969,-1.2037,-127.4852,127.4852,144.1241,-144.1241
296.6183,-4.8709,14.6586,16.6805,-2.9869,-127.4852,127.4852,144.1241,-144.1241
296.6349,-5.2177,14.8683,17.1770,-6.0489,-127.4852,127.4852,144.1241,-144.1241
296.6521,-4.8066,15.5325,17.0902,-6.4979,-127.4852,127.4852,144.1241,-144.1241
296.6685,-7.0223,19.8966,20.1775,-6.1328,-127.4852,127.4852,144.1241,-144.1241
296.6852,-7.4976,17.8011,19.5951,-7.1757,-127.4852,127.4852,144.1241,-144.1241
296.7025,-9.7294,22.3776,29.4977,-9.5083,-127.4852,127.4852,144.1241,-144.1241
296.7370,-6.3667,10.6853,14.4475,-5.8769,-127.4852,127.4852,144.1241,-144.1241
296.7551,-9.8616,25.4370,21.1622,-10.8351,-127.4852,127.4852,144.1241,-144.1241
296.7722,-10.0675,23.2810,36.2698,-14.6967,-127.4852,127.4852,144.1241,-144.1241
296.7865,-11.5661,30.2539,35.3408,-13.6544,-127.4852,127.4852,144.1241,-144.1241
296.8214,-7.6704,14.4616,12.7254,-6.8792,-127.4852,127.4852,144.1241,-144.1241
296.8404,-10.8859,31.0047,23.5861,-14.3533,-127.4852,127.4852,144.1241,-144.1241
296.8586,-11.7142,29.9596,34.0891,-15.5908,-127.4852,127.4852,144.1241,-144.1241
296.8747,-12.2316,35.1717,29.5557,-18.9899,-127.4852,127.4852,144.1241,-144.1241
296.9063,-8.4009,19.3269,30.9571,-12.0186,-127.4852,127.4852,144.1241,-144.1241
296.9225,-22.5954,38.2893,67.8335,-21.8864,-127.4852,127.4852,144.1241,-144.1241
296.9384,-9.1376,38.5811,77.8390,-24.2703,-127.4852,127.4852,144.1241,-144.1241
